name,brand,category,subCategory,price,countInStock,description,sizes,images
Nike Wildhorse 8,Nike,Footwear,Shoe,130.00,100,Rugged trail shoe.,40 41 42,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/000c0a90-33b0-466d-9799-693427ec6514/invincible-3-road-running-shoes.png"
Nike Terra Kiger 9,Nike,Footwear,Shoe,140.00,100,Fast trail runner.,42 43 44,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/a1c1d8fc-cfc4-4a41-b659-1f20b411d31d/zoomx-vaporfly-next-3-racing-shoes.png"
Nike Free RN,Nike,Footwear,Shoe,100.00,100,Barefoot feel runner.,41 42 43,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/61e83bfd-cd08-41ec-b08e-05566f1b34a6/air-zoom-pegasus-40-running-shoes.png"
Nike Kiger,Nike,Footwear,Shoe,140.00,100,Off-road specialist.,40 41 42 43,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/dfbf077e-2e0e-4361-9f93-0199e82103f1/air-zoom-vomero-17-road-running-shoes.png"
Adidas Ultraboost Light,Adidas,Footwear,Shoe,190.00,100,Lightest Ultraboost.,40 41 42 43,"https://assets.adidas.com/images/h_840,f_auto,q_auto,fl_lossy,c_fill,g_auto/79b49b38641142279b9baf2f012015fa_9366/Ultraboost_Light_Running_Shoes_White_HQ6339_01_standard.jpg"
Adidas Boston 12,Adidas,Footwear,Shoe,160.00,100,Tempo training shoe.,42 43 44 45,"https://assets.adidas.com/images/h_840,f_auto,q_auto,fl_lossy,c_fill,g_auto/28e67879b29c48b29f04af520101b0f1_9366/Adizero_Boston_12_Running_Shoes_Blue_HQ2171_01_standard.jpg"
Adidas Solarboost 5,Adidas,Footwear,Shoe,150.00,100,Stability runner.,41 42 43,"https://assets.adidas.com/images/h_840,f_auto,q_auto,fl_lossy,c_fill,g_auto/a12b487e45ad4e29ba8caf6001211bfa_9366/Solarboost_5_Running_Shoes_Black_HP5642_01_standard.jpg"
Adidas Supernova Rise,Adidas,Footwear,Shoe,140.00,100,Daily comfort trainer.,40 41 42,"https://assets.adidas.com/images/h_840,f_auto,q_auto,fl_lossy,c_fill,g_auto/db1a28a3f5b74c89ba0aaf6501111bfa_9366/Supernova_Rise_Running_Shoes_Grey_HP5700_01_standard.jpg"
Adidas Adios Pro 3,Adidas,Footwear,Shoe,250.00,100,Marathon racer.,40 41 42 43 44,"https://assets.adidas.com/images/h_840,f_auto,q_auto,fl_lossy,c_fill,g_auto/79b49b38641142279b9baf2f012015fa_9366/Ultraboost_Light_Running_Shoes_White_HQ6339_01_standard.jpg"
Adidas Takumi Sen 10,Adidas,Footwear,Shoe,180.00,100,5K/10K racing shoe.,41 42 43,"https://assets.adidas.com/images/h_840,f_auto,q_auto,fl_lossy,c_fill,g_auto/28e67879b29c48b29f04af520101b0f1_9366/Adizero_Boston_12_Running_Shoes_Blue_HQ2171_01_standard.jpg"
Adidas Prime X,Adidas,Footwear,Shoe,300.00,100,Illegal stack height racer.,42 43 44,"https://assets.adidas.com/images/h_840,f_auto,q_auto,fl_lossy,c_fill,g_auto/a12b487e45ad4e29ba8caf6001211bfa_9366/Solarboost_5_Running_Shoes_Black_HP5642_01_standard.jpg"
Adidas Duramo Speed,Adidas,Footwear,Shoe,90.00,100,Budget speed shoe.,40 41 42,"https://assets.adidas.com/images/h_840,f_auto,q_auto,fl_lossy,c_fill,g_auto/db1a28a3f5b74c89ba0aaf6501111bfa_9366/Supernova_Rise_Running_Shoes_Grey_HP5700_01_standard.jpg"
Adidas Galaxy 6,Adidas,Footwear,Shoe,60.00,100,Entry level comfort.,41 42 43 44,"https://assets.adidas.com/images/h_840,f_auto,q_auto,fl_lossy,c_fill,g_auto/79b49b38641142279b9baf2f012015fa_9366/Ultraboost_Light_Running_Shoes_White_HQ6339_01_standard.jpg"
Adidas Runfalcon 3,Adidas,Footwear,Shoe,65.00,100,Everyday walking running.,40 41 42,"https://assets.adidas.com/images/h_840,f_auto,q_auto,fl_lossy,c_fill,g_auto/28e67879b29c48b29f04af520101b0f1_9366/Adizero_Boston_12_Running_Shoes_Blue_HQ2171_01_standard.jpg"
Adidas Questar,Adidas,Footwear,Shoe,75.00,100,Cushioned runner.,42 43 44,"https://assets.adidas.com/images/h_840,f_auto,q_auto,fl_lossy,c_fill,g_auto/a12b487e45ad4e29ba8caf6001211bfa_9366/Solarboost_5_Running_Shoes_Black_HP5642_01_standard.jpg"
Adidas EQ21,Adidas,Footwear,Shoe,80.00,100,Bounce midsole shoe.,41 42 43,"https://assets.adidas.com/images/h_840,f_auto,q_auto,fl_lossy,c_fill,g_auto/db1a28a3f5b74c89ba0aaf6501111bfa_9366/Supernova_Rise_Running_Shoes_Grey_HP5700_01_standard.jpg"
Adidas Supernova 3,Adidas,Footwear,Shoe,100.00,100,Recycled materials runner.,40 41 42 43,"https://assets.adidas.com/images/h_840,f_auto,q_auto,fl_lossy,c_fill,g_auto/79b49b38641142279b9baf2f012015fa_9366/Ultraboost_Light_Running_Shoes_White_HQ6339_01_standard.jpg"
Adidas Adistar,Adidas,Footwear,Shoe,130.00,100,Slow long run shoe.,41 43 45,"https://assets.adidas.com/images/h_840,f_auto,q_auto,fl_lossy,c_fill,g_auto/28e67879b29c48b29f04af520101b0f1_9366/Adizero_Boston_12_Running_Shoes_Blue_HQ2171_01_standard.jpg"
Adidas Terrex,Adidas,Footwear,Shoe,140.00,100,Trail running robust shoe.,40 42 44,"https://assets.adidas.com/images/h_840,f_auto,q_auto,fl_lossy,c_fill,g_auto/a12b487e45ad4e29ba8caf6001211bfa_9366/Solarboost_5_Running_Shoes_Black_HP5642_01_standard.jpg"
NB 1080v13,New Balance,Footwear,Shoe,165.00,100,Plush underfoot experience.,41 42 43 44,"https://nb.scene7.com/is/image/NB/m1080w13_nb_02_i?$pdp_main_v4$&wid=1280&hei=1280"
NB Rebel v4,New Balance,Footwear,Shoe,140.00,100,Lightweight pace shoe.,40 41 42,"https://nb.scene7.com/is/image/NB/mfcxlw4_nb_02_i?$pdp_main_v4$&wid=1280&hei=1280"
NB More v4,New Balance,Footwear,Shoe,150.00,100,Max Fresh Foam.,42 43 44,"https://nb.scene7.com/is/image/NB/mmorbl4_nb_02_i?$pdp_main_v4$&wid=1280&hei=1280"
NB 880v14,New Balance,Footwear,Shoe,140.00,100,Reliable daily trainer.,40 41 42 43,"https://nb.scene7.com/is/image/NB/m1080w13_nb_02_i?$pdp_main_v4$&wid=1280&hei=1280"
NB 860v13,New Balance,Footwear,Shoe,140.00,100,Stability daily runner.,41 42 43,"https://nb.scene7.com/is/image/NB/mfcxlw4_nb_02_i?$pdp_main_v4$&wid=1280&hei=1280"
NB Elite v4,New Balance,Footwear,Shoe,250.00,100,Carbon plated racer.,42 43 44,"https://nb.scene7.com/is/image/NB/mmorbl4_nb_02_i?$pdp_main_v4$&wid=1280&hei=1280"
NB Propel v4,New Balance,Footwear,Shoe,110.00,100,Energy arc trainer.,40 41 42,"https://nb.scene7.com/is/image/NB/m1080w13_nb_02_i?$pdp_main_v4$&wid=1280&hei=1280"
NB Vongo v6,New Balance,Footwear,Shoe,165.00,100,Premium stability shoe.,41 42 43 44,"https://nb.scene7.com/is/image/NB/mfcxlw4_nb_02_i?$pdp_main_v4$&wid=1280&hei=1280"
NB Beacon v3,New Balance,Footwear,Shoe,120.00,100,Lightweight daily run.,42 43 44,"https://nb.scene7.com/is/image/NB/mmorbl4_nb_02_i?$pdp_main_v4$&wid=1280&hei=1280"
NB Hierro v8,New Balance,Footwear,Shoe,135.00,100,Vibram trail shoe.,40 41 42,"https://nb.scene7.com/is/image/NB/m1080w13_nb_02_i?$pdp_main_v4$&wid=1280&hei=1280"
NB Nitrel v5,New Balance,Footwear,Shoe,75.00,100,All-terrain runner.,41 42 43,"https://nb.scene7.com/is/image/NB/mfcxlw4_nb_02_i?$pdp_main_v4$&wid=1280&hei=1280"
NB Garoe,New Balance,Footwear,Shoe,90.00,100,Beginner trail shoe.,42 43 44,"https://nb.scene7.com/is/image/NB/mmorbl4_nb_02_i?$pdp_main_v4$&wid=1280&hei=1280"
NB Arishi v4,New Balance,Footwear,Shoe,70.00,100,Versatile sport shoe.,40 41 42 43,"https://nb.scene7.com/is/image/NB/m1080w13_nb_02_i?$pdp_main_v4$&wid=1280&hei=1280"
NB Evoz v3,New Balance,Footwear,Shoe,100.00,100,Soft cushioned trainer.,41 42 43,"https://nb.scene7.com/is/image/NB/mfcxlw4_nb_02_i?$pdp_main_v4$&wid=1280&hei=1280"
NB Kaiha Road,New Balance,Footwear,Shoe,100.00,100,Thick midsole runner.,42 43 44,"https://nb.scene7.com/is/image/NB/mmorbl4_nb_02_i?$pdp_main_v4$&wid=1280&hei=1280"
Asics Kayano 30,Asics,Footwear,Shoe,160.00,100,Advanced stability.,41 42 43 44,"https://m.media-amazon.com/images/I/71u9sX7W1NL._AC_SY695_.jpg"
Asics Nimbus 26,Asics,Footwear,Shoe,160.00,100,Max plush comfort.,40 41 42,"https://m.media-amazon.com/images/I/71u9sX7W1NL._AC_SY695_.jpg"
Asics Novablast 4,Asics,Footwear,Shoe,140.00,100,Bouncy trampoline effect.,42 43 44,"https://m.media-amazon.com/images/I/71u9sX7W1NL._AC_SY695_.jpg"
Asics Cumulus 26,Asics,Footwear,Shoe,140.00,100,Everyday neutral trainer.,40 41 42 43,"https://m.media-amazon.com/images/I/71u9sX7W1NL._AC_SY695_.jpg"
Asics GT-2000 12,Asics,Footwear,Shoe,140.00,100,Lightweight stability.,41 42 43,"https://m.media-amazon.com/images/I/71u9sX7W1NL._AC_SY695_.jpg"
Puma Velocity Nitro 3,Puma,Footwear,Shoe,130.00,100,Nitrogen-infused foam.,40 41 42,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_1000,h_1000/global/377748/01/sv01/fnd/PNA"
Puma Deviate Nitro 2,Puma,Footwear,Shoe,160.00,100,Plated training shoe.,41 42 43 44,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_1000,h_1000/global/377748/01/sv01/fnd/PNA"
Puma Magnify Nitro 2,Puma,Footwear,Shoe,150.00,100,Max cushion Puma.,42 43 44,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_1000,h_1000/global/377748/01/sv01/fnd/PNA"
Puma ForeverRun Nitro,Puma,Footwear,Shoe,150.00,100,Stable running shoe.,40 41 42,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_1000,h_1000/global/377748/01/sv01/fnd/PNA"
Puma Electrify Nitro 3,Puma,Footwear,Shoe,100.00,100,Budget nitro shoe.,41 42 43,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_1000,h_1000/global/377748/01/sv01/fnd/PNA"
Hoka Clifton 9,Hoka,Footwear,Shoe,145.00,100,Light and plush.,40 41 42 43,"https://m.media-amazon.com/images/I/71u9sX7W1NL._AC_SY695_.jpg"
Hoka Bondi 8,Hoka,Footwear,Shoe,165.00,100,Ultra cushioned shoe.,42 43 44,"https://m.media-amazon.com/images/I/71u9sX7W1NL._AC_SY695_.jpg"
Hoka Mach 6,Hoka,Footwear,Shoe,140.00,100,Responsive pace trainer.,40 41 42,"https://m.media-amazon.com/images/I/71u9sX7W1NL._AC_SY695_.jpg"
Hoka Speedgoat 5,Hoka,Footwear,Shoe,155.00,100,Elite trail running.,41 42 43 44,"https://m.media-amazon.com/images/I/71u9sX7W1NL._AC_SY695_.jpg"
Hoka Arahi 7,Hoka,Footwear,Shoe,145.00,100,J-Frame stability.,42 43 44,"https://m.media-amazon.com/images/I/71u9sX7W1NL._AC_SY695_.jpg"
Brooks Ghost 15,Brooks,Footwear,Shoe,140.00,100,Classic neutral trainer.,40 41 42 43,"https://m.media-amazon.com/images/I/71u9sX7W1NL._AC_SY695_.jpg"
Brooks Adrenaline 23,Brooks,Footwear,Shoe,140.00,100,GuideRails stability.,41 42 43,"https://m.media-amazon.com/images/I/71u9sX7W1NL._AC_SY695_.jpg"
Brooks Glycerin 21,Brooks,Footwear,Shoe,160.00,100,Softest Brooks shoe.,42 43 44,"https://m.media-amazon.com/images/I/71u9sX7W1NL._AC_SY695_.jpg"
Brooks Hyperion Max,Brooks,Footwear,Shoe,170.00,100,Fast training shoe.,40 41 42,"https://m.media-amazon.com/images/I/71u9sX7W1NL._AC_SY695_.jpg"
Brooks Cascadia 17,Brooks,Footwear,Shoe,140.00,100,Protective trail shoe.,41 42 43 44,"https://m.media-amazon.com/images/I/71u9sX7W1NL._AC_SY695_.jpg"
Under Armour HOVR Sonic 6,Under Armour,Footwear,Shoe,120.00,100,Flexible and breathable.,40 41 42,"https://m.media-amazon.com/images/I/71u9sX7W1NL._AC_SY695_.jpg"
Under Armour Machina 3,Under Armour,Footwear,Shoe,150.00,100,Form coaching runner.,41 42 43,"https://m.media-amazon.com/images/I/71u9sX7W1NL._AC_SY695_.jpg"
Under Armour Infinite,Under Armour,Footwear,Shoe,130.00,100,Endurance running shoe.,42 43 44,"https://m.media-amazon.com/images/I/71u9sX7W1NL._AC_SY695_.jpg"
Under Armour Phantom 3,Under Armour,Footwear,Shoe,140.00,100,Sock-like fit runner.,40 41 42 43,"https://m.media-amazon.com/images/I/71u9sX7W1NL._AC_SY695_.jpg"
Under Armour Assert 10,Under Armour,Footwear,Shoe,70.00,100,Entry level comfortable.,41 42 43,"https://m.media-amazon.com/images/I/71u9sX7W1NL._AC_SY695_.jpg"
On Cloudmonster,On Running,Footwear,Shoe,170.00,100,Max CloudTec cushioning.,42 43 44,"https://m.media-amazon.com/images/I/71u9sX7W1NL._AC_SY695_.jpg"
On Cloudsurfer,On Running,Footwear,Shoe,160.00,100,Computer-optimized technology.,40 41 42,"https://m.media-amazon.com/images/I/71u9sX7W1NL._AC_SY695_.jpg"
On Cloudstratus 3,On Running,Footwear,Shoe,180.00,100,Double CloudTec layers.,41 42 43 44,"https://m.media-amazon.com/images/I/71u9sX7W1NL._AC_SY695_.jpg"
On Cloudflyer 4,On Running,Footwear,Shoe,170.00,100,Supportive running shoe.,40 41 42,"https://m.media-amazon.com/images/I/71u9sX7W1NL._AC_SY695_.jpg"
On Cloudrunner,On Running,Footwear,Shoe,150.00,100,Comfortable daily run.,42 43 44,"https://m.media-amazon.com/images/I/71u9sX7W1NL._AC_SY695_.jpg"
Saucony Triumph 21,Saucony,Footwear,Shoe,160.00,100,Premium neutral cushioning.,41 42 43,"https://m.media-amazon.com/images/I/71u9sX7W1NL._AC_SY695_.jpg"
Saucony Ride 17,Saucony,Footwear,Shoe,140.00,100,Smooth daily miles.,40 41 42 43,"https://m.media-amazon.com/images/I/71u9sX7W1NL._AC_SY695_.jpg"
Saucony Guide 17,Saucony,Footwear,Shoe,140.00,100,Everyday stability.,42 43 44,"https://m.media-amazon.com/images/I/71u9sX7W1NL._AC_SY695_.jpg"
Saucony Endorphin Speed 4,Saucony,Footwear,Shoe,170.00,100,Nylon plated trainer.,41 42 43,"https://m.media-amazon.com/images/I/71u9sX7W1NL._AC_SY695_.jpg"
Saucony Kinvara 14,Saucony,Footwear,Shoe,120.00,100,Lightweight flexible runner.,40 41 42,"https://m.media-amazon.com/images/I/71u9sX7W1NL._AC_SY695_.jpg"
Mizuno Wave Rider 27,Mizuno,Footwear,Shoe,140.00,100,Classic wave plate trainer.,42 43 44,"https://m.media-amazon.com/images/I/71u9sX7W1NL._AC_SY695_.jpg"
Mizuno Wave Inspire 20,Mizuno,Footwear,Shoe,140.00,100,Supportive wave technology.,41 42 43 44,"https://m.media-amazon.com/images/I/71u9sX7W1NL._AC_SY695_.jpg"
Mizuno Wave Sky 7,Mizuno,Footwear,Shoe,170.00,100,Floating feel running shoe.,40 41 42,"https://m.media-amazon.com/images/I/71u9sX7W1NL._AC_SY695_.jpg"
Mizuno Wave Rebellion,Mizuno,Footwear,Shoe,180.00,100,Glass-fiber plated racer.,42 43 44,"https://m.media-amazon.com/images/I/71u9sX7W1NL._AC_SY695_.jpg"
Mizuno Wave Horizon 7,Mizuno,Footwear,Shoe,170.00,100,Max stability running.,41 42 43,"https://m.media-amazon.com/images/I/71u9sX7W1NL._AC_SY695_.jpg"
Nike Mercurial Superfly 9,Nike,Footwear,Football Shoe,275.00,100,Explosive speed.,41 42 43 44,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/3db836c0-c3d3-455b-bf74-27cbcf49392b/mercurial-superfly-9-academy-mg-football-boot.png"
Nike Phantom GX 2,Nike,Footwear,Football Shoe,260.00,100,Elite ball control.,40 41 42,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/509270ea-37fb-4fb2-b7e8-2cb9745d045d/phantom-gx-2-pro-fg-football-boot.png"
Nike Tiempo Legend 10,Nike,Footwear,Football Shoe,240.00,100,Premium leather touch.,42 43 44,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/3db836c0-c3d3-455b-bf74-27cbcf49392b/mercurial-superfly-9-academy-mg-football-boot.png"
Nike Premier 3,Nike,Footwear,Football Shoe,120.00,100,Classic K-leather boot.,41 42 43,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/509270ea-37fb-4fb2-b7e8-2cb9745d045d/phantom-gx-2-pro-fg-football-boot.png"
Nike Mercurial Vapor 15,Nike,Footwear,Football Shoe,260.00,100,Low cut speed boot.,40 41 42 43,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/3db836c0-c3d3-455b-bf74-27cbcf49392b/mercurial-superfly-9-academy-mg-football-boot.png"
Nike Phantom Luna,Nike,Footwear,Football Shoe,275.00,100,Cyclone 360 traction.,42 43 44,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/509270ea-37fb-4fb2-b7e8-2cb9745d045d/phantom-gx-2-pro-fg-football-boot.png"
Nike Streetgato,Nike,Footwear,Football Shoe,85.00,100,Street football shoe.,41 42 43,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/3db836c0-c3d3-455b-bf74-27cbcf49392b/mercurial-superfly-9-academy-mg-football-boot.png"
Nike Lunar Gato II,Nike,Footwear,Football Shoe,100.00,100,Indoor court specialist.,40 41 42,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/509270ea-37fb-4fb2-b7e8-2cb9745d045d/phantom-gx-2-pro-fg-football-boot.png"
Nike Mercurial Academy,Nike,Footwear,Football Shoe,90.00,100,Affordable speed boot.,42 43 44,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/3db836c0-c3d3-455b-bf74-27cbcf49392b/mercurial-superfly-9-academy-mg-football-boot.png"
Nike Phantom Club,Nike,Footwear,Football Shoe,65.00,100,Entry level control.,41 42 43 44,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/509270ea-37fb-4fb2-b7e8-2cb9745d045d/phantom-gx-2-pro-fg-football-boot.png"
Nike Tiempo Club,Nike,Footwear,Football Shoe,60.00,100,Entry level heritage.,40 41 42,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/3db836c0-c3d3-455b-bf74-27cbcf49392b/mercurial-superfly-9-academy-mg-football-boot.png"
Nike Mercurial Pro TF,Nike,Footwear,Football Shoe,120.00,100,Turf football shoe.,42 43 44,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/509270ea-37fb-4fb2-b7e8-2cb9745d045d/phantom-gx-2-pro-fg-football-boot.png"
Nike Phantom Pro IC,Nike,Footwear,Football Shoe,120.00,100,Indoor court control.,41 42 43,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/3db836c0-c3d3-455b-bf74-27cbcf49392b/mercurial-superfly-9-academy-mg-football-boot.png"
Nike Tiempo Pro TF,Nike,Footwear,Football Shoe,115.00,100,Turf leather boot.,40 41 42 43,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/509270ea-37fb-4fb2-b7e8-2cb9745d045d/phantom-gx-2-pro-fg-football-boot.png"
Nike Premier 3 TF,Nike,Footwear,Football Shoe,110.00,100,Classic turf boot.,42 43 44,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/3db836c0-c3d3-455b-bf74-27cbcf49392b/mercurial-superfly-9-academy-mg-football-boot.png"
Adidas Predator Elite FT,Adidas,Footwear,Football Shoe,265.00,100,Strike fins technology.,41 42 43 44,"https://assets.adidas.com/images/h_840,f_auto,q_auto,fl_lossy,c_fill,g_auto/2cb2d04a4bc94a97864fbe3d2269c362_9366/Predator_Elite_FT_Firm_Ground_Boots_Black_IG7706_01_standard.jpg"
Adidas F50 Elite,Adidas,Footwear,Football Shoe,250.00,100,Ultimate acceleration.,42 43 44 45,"https://assets.adidas.com/images/h_840,f_auto,q_auto,fl_lossy,c_fill,g_auto/01f5f24792c34bb990c0af650115a9da_9366/F50_Elite_FG_White_HP5700_01_standard.jpg"
Adidas Copa Pure 2,Adidas,Footwear,Football Shoe,230.00,100,Flawless leather touch.,40 41 42 43,"https://assets.adidas.com/images/h_840,f_auto,q_auto,fl_lossy,c_fill,g_auto/2cb2d04a4bc94a97864fbe3d2269c362_9366/Predator_Elite_FT_Firm_Ground_Boots_Black_IG7706_01_standard.jpg"
Adidas X Crazyfast,Adidas,Footwear,Football Shoe,250.00,100,Lightweight speed.,41 42 43 44,"https://assets.adidas.com/images/h_840,f_auto,q_auto,fl_lossy,c_fill,g_auto/01f5f24792c34bb990c0af650115a9da_9366/F50_Elite_FG_White_HP5700_01_standard.jpg"
Adidas Predator League,Adidas,Footwear,Football Shoe,90.00,100,Affordable control.,42 43 44,"https://assets.adidas.com/images/h_840,f_auto,q_auto,fl_lossy,c_fill,g_auto/2cb2d04a4bc94a97864fbe3d2269c362_9366/Predator_Elite_FT_Firm_Ground_Boots_Black_IG7706_01_standard.jpg"
Adidas Copa Gloro,Adidas,Footwear,Football Shoe,100.00,100,Classic tongue boot.,40 41 42,"https://assets.adidas.com/images/h_840,f_auto,q_auto,fl_lossy,c_fill,g_auto/01f5f24792c34bb990c0af650115a9da_9366/F50_Elite_FG_White_HP5700_01_standard.jpg"
Adidas Mundial Team,Adidas,Footwear,Football Shoe,130.00,100,Legendary turf shoe.,41 42 43,"https://assets.adidas.com/images/h_840,f_auto,q_auto,fl_lossy,c_fill,g_auto/2cb2d04a4bc94a97864fbe3d2269c362_9366/Predator_Elite_FT_Firm_Ground_Boots_Black_IG7706_01_standard.jpg"
Adidas Samba Indoor,Adidas,Footwear,Football Shoe,100.00,100,Iconic indoor shoe.,42 43 44,"https://assets.adidas.com/images/h_840,f_auto,q_auto,fl_lossy,c_fill,g_auto/01f5f24792c34bb990c0af650115a9da_9366/F50_Elite_FG_White_HP5700_01_standard.jpg"
Adidas Kaiser 5 Liga,Adidas,Footwear,Football Shoe,120.00,100,Classic heritage boot.,40 41 42 43,"https://assets.adidas.com/images/h_840,f_auto,q_auto,fl_lossy,c_fill,g_auto/2cb2d04a4bc94a97864fbe3d2269c362_9366/Predator_Elite_FT_Firm_Ground_Boots_Black_IG7706_01_standard.jpg"
Adidas X Club,Adidas,Footwear,Football Shoe,60.00,100,Entry level speed.,41 42 43 44,"https://assets.adidas.com/images/h_840,f_auto,q_auto,fl_lossy,c_fill,g_auto/01f5f24792c34bb990c0af650115a9da_9366/F50_Elite_FG_White_HP5700_01_standard.jpg"
Adidas Predator Accuracy.3,Adidas,Footwear,Football Shoe,85.00,100,Mid-tier control boot.,42 43 44,"https://assets.adidas.com/images/h_840,f_auto,q_auto,fl_lossy,c_fill,g_auto/2cb2d04a4bc94a97864fbe3d2269c362_9366/Predator_Elite_FT_Firm_Ground_Boots_Black_IG7706_01_standard.jpg"
Adidas Copa Sense.3,Adidas,Footwear,Football Shoe,80.00,100,Mid-tier leather feel.,40 41 42,"https://assets.adidas.com/images/h_840,f_auto,q_auto,fl_lossy,c_fill,g_auto/01f5f24792c34bb990c0af650115a9da_9366/F50_Elite_FG_White_HP5700_01_standard.jpg"
Adidas Gamemode,Adidas,Footwear,Football Shoe,100.00,100,Sustainable football boot.,41 42 43,"https://assets.adidas.com/images/h_840,f_auto,q_auto,fl_lossy,c_fill,g_auto/2cb2d04a4bc94a97864fbe3d2269c362_9366/Predator_Elite_FT_Firm_Ground_Boots_Black_IG7706_01_standard.jpg"
Adidas X Speedportal.1,Adidas,Footwear,Football Shoe,200.00,100,Previous gen speed.,42 43 44,"https://assets.adidas.com/images/h_840,f_auto,q_auto,fl_lossy,c_fill,g_auto/01f5f24792c34bb990c0af650115a9da_9366/F50_Elite_FG_White_HP5700_01_standard.jpg"
